id,timestamp,exchange,depth_buy_total,depth_sell_total,depth_imbalance_ratio,source,created_at
8282,2025-11-28 15:15:37,NSE,33450.0,8250.0,0.60431654676259,runtime,2025-11-28 15:15:37
8281,2025-11-28 15:15:13,NSE,47475.0,94350.0,-0.33051295610787945,runtime,2025-11-28 15:15:13
8280,2025-11-28 15:15:10,BSE,1560.0,6640.0,-0.6195121951219512,runtime,2025-11-28 15:15:10
8279,2025-11-28 15:15:08,BANKNIFTY_MONTHLY,3990.0,4760.0,-0.088,runtime,2025-11-28 15:15:08
8278,2025-11-28 15:15:06,NSE,20625.0,8250.0,0.42857142857142855,runtime,2025-11-28 15:15:06
8277,2025-11-28 15:14:38,NSE,97500.0,69675.0,0.16644235082996858,runtime,2025-11-28 15:14:38
8276,2025-11-28 15:14:36,NSE,7125.0,9150.0,-0.12442396313364056,runtime,2025-11-28 15:14:36
8275,2025-11-28 15:14:33,BANKNIFTY_MONTHLY,3850.0,3185.0,0.0945273631840796,runtime,2025-11-28 15:14:33
8274,2025-11-28 15:14:05,NSE,8850.0,9375.0,-0.02880658436213992,runtime,2025-11-28 15:14:05
8273,2025-11-28 15:13:59,BANKNIFTY_MONTHLY,3955.0,3885.0,0.008928571428571428,runtime,2025-11-28 15:13:59
8272,2025-11-28 15:13:34,NSE,11550.0,14550.0,-0.11494252873563218,runtime,2025-11-28 15:13:34
8271,2025-11-28 15:13:25,BANKNIFTY_MONTHLY,4130.0,3640.0,0.06306306306306306,runtime,2025-11-28 15:13:25
8270,2025-11-28 15:13:04,NSE,12600.0,11025.0,0.06666666666666667,runtime,2025-11-28 15:13:04
8269,2025-11-28 15:12:51,BANKNIFTY_MONTHLY,4270.0,4165.0,0.012448132780082987,runtime,2025-11-28 15:12:51
8268,2025-11-28 15:12:33,NSE,9075.0,9975.0,-0.047244094488188976,runtime,2025-11-28 15:12:33
8267,2025-11-28 15:12:16,BANKNIFTY_MONTHLY,3885.0,5635.0,-0.18382352941176472,runtime,2025-11-28 15:12:16
8266,2025-11-28 15:12:09,BSE,1780.0,2200.0,-0.10552763819095477,runtime,2025-11-28 15:12:09
8265,2025-11-28 15:12:02,NSE,11400.0,12225.0,-0.03492063492063492,runtime,2025-11-28 15:12:02
8264,2025-11-28 15:11:42,BANKNIFTY_MONTHLY,2835.0,4550.0,-0.23222748815165878,runtime,2025-11-28 15:11:42
8263,2025-11-28 15:11:38,NSE,69750.0,105450.0,-0.20376712328767124,runtime,2025-11-28 15:11:38
8262,2025-11-28 15:11:32,NSE,9450.0,9600.0,-0.007874015748031496,runtime,2025-11-28 15:11:32
8261,2025-11-28 15:10:40,NSE,10350.0,13575.0,-0.13479623824451412,runtime,2025-11-28 15:10:41
8260,2025-11-28 15:10:22,BANKNIFTY_MONTHLY,4900.0,4340.0,0.06060606060606061,runtime,2025-11-28 15:10:22
8259,2025-11-28 15:10:10,NSE,8850.0,11400.0,-0.1259259259259259,runtime,2025-11-28 15:10:10
8258,2025-11-28 15:09:48,BANKNIFTY_MONTHLY,4550.0,4340.0,0.023622047244094488,runtime,2025-11-28 15:09:48
8257,2025-11-28 15:09:39,NSE,8400.0,11025.0,-0.13513513513513514,runtime,2025-11-28 15:09:39
8256,2025-11-28 15:09:14,BANKNIFTY_MONTHLY,4095.0,5320.0,-0.13011152416356878,runtime,2025-11-28 15:09:14
8255,2025-11-28 15:09:09,BSE,1980.0,2600.0,-0.13537117903930132,runtime,2025-11-28 15:09:09
8254,2025-11-28 15:09:08,NSE,8250.0,8250.0,0.0,runtime,2025-11-28 15:09:09
8253,2025-11-28 15:09:07,NSE,54900.0,48975.0,0.05703971119133574,runtime,2025-11-28 15:09:07
8252,2025-11-28 15:08:39,BANKNIFTY_MONTHLY,3885.0,3605.0,0.037383177570093455,runtime,2025-11-28 15:08:39
8251,2025-11-28 15:08:38,NSE,14400.0,10650.0,0.1497005988023952,runtime,2025-11-28 15:08:38
8250,2025-11-28 15:08:32,NSE,61275.0,57900.0,0.028319697923222153,runtime,2025-11-28 15:08:32
8249,2025-11-28 15:07:59,BANKNIFTY_MONTHLY,3395.0,3885.0,-0.0673076923076923,runtime,2025-11-28 15:07:59
8248,2025-11-28 15:07:57,NSE,9075.0,9375.0,-0.016260162601626018,runtime,2025-11-28 15:07:57
8247,2025-11-28 15:07:25,BANKNIFTY_MONTHLY,3605.0,5670.0,-0.22264150943396227,runtime,2025-11-28 15:07:25
8246,2025-11-28 15:06:59,BSE,1480.0,1640.0,-0.05128205128205128,runtime,2025-11-28 15:06:59
8245,2025-11-28 15:06:40,NSE,7800.0,10350.0,-0.14049586776859505,runtime,2025-11-28 15:06:40
8244,2025-11-28 15:06:29,BSE,1640.0,1580.0,0.018633540372670808,runtime,2025-11-28 15:06:29
8243,2025-11-28 15:06:16,BANKNIFTY_MONTHLY,3045.0,3745.0,-0.10309278350515463,runtime,2025-11-28 15:06:16
8242,2025-11-28 15:06:10,NSE,9900.0,11925.0,-0.09278350515463918,runtime,2025-11-28 15:06:10
8241,2025-11-28 15:06:07,NSE,65700.0,52500.0,0.1116751269035533,runtime,2025-11-28 15:06:07
8240,2025-11-28 15:05:59,BSE,1400.0,2140.0,-0.20903954802259886,runtime,2025-11-28 15:05:59
8239,2025-11-28 15:05:42,BANKNIFTY_MONTHLY,3780.0,3255.0,0.07462686567164178,runtime,2025-11-28 15:05:42
8238,2025-11-28 15:05:39,NSE,10800.0,8100.0,0.14285714285714285,runtime,2025-11-28 15:05:39
8237,2025-11-28 15:05:32,NSE,50625.0,81225.0,-0.23208191126279865,runtime,2025-11-28 15:05:32
8236,2025-11-28 15:05:29,BSE,1420.0,1700.0,-0.08974358974358974,runtime,2025-11-28 15:05:29
8235,2025-11-28 15:05:08,BANKNIFTY_MONTHLY,3500.0,5740.0,-0.24242424242424243,runtime,2025-11-28 15:05:08
8234,2025-11-28 15:04:38,NSE,9300.0,12000.0,-0.1267605633802817,runtime,2025-11-28 15:04:38
8233,2025-11-28 15:04:34,BANKNIFTY_MONTHLY,4305.0,3080.0,0.16587677725118483,runtime,2025-11-28 15:04:34
8232,2025-11-28 15:04:07,NSE,10425.0,8700.0,0.09019607843137255,runtime,2025-11-28 15:04:07
8231,2025-11-28 15:03:48,BANKNIFTY_MONTHLY,3360.0,3500.0,-0.02040816326530612,runtime,2025-11-28 15:03:48
8230,2025-11-28 15:03:36,NSE,11400.0,8100.0,0.16923076923076924,runtime,2025-11-28 15:03:36
8229,2025-11-28 15:03:14,BANKNIFTY_MONTHLY,3850.0,3955.0,-0.013452914798206279,runtime,2025-11-28 15:03:14
8228,2025-11-28 15:03:09,BSE,1140.0,1920.0,-0.2549019607843137,runtime,2025-11-28 15:03:09
8227,2025-11-28 15:03:07,NSE,51600.0,63000.0,-0.09947643979057591,runtime,2025-11-28 15:03:07
8226,2025-11-28 15:03:06,NSE,7950.0,7800.0,0.009523809523809525,runtime,2025-11-28 15:03:06
8225,2025-11-28 15:02:39,BANKNIFTY_MONTHLY,4375.0,3815.0,0.06837606837606838,runtime,2025-11-28 15:02:39
8224,2025-11-28 15:02:35,NSE,12150.0,6600.0,0.296,runtime,2025-11-28 15:02:35
8223,2025-11-28 15:02:32,NSE,50850.0,58950.0,-0.07377049180327869,runtime,2025-11-28 15:02:32
8222,2025-11-28 15:01:54,BANKNIFTY_MONTHLY,2975.0,3780.0,-0.11917098445595854,runtime,2025-11-28 15:01:54
8221,2025-11-28 15:01:34,NSE,8700.0,12675.0,-0.18596491228070175,runtime,2025-11-28 15:01:34
8220,2025-11-28 15:01:19,BANKNIFTY_MONTHLY,3430.0,4060.0,-0.08411214953271028,runtime,2025-11-28 15:01:19
8219,2025-11-28 15:01:03,NSE,9825.0,12975.0,-0.13815789473684212,runtime,2025-11-28 15:01:03
8218,2025-11-28 15:00:32,NSE,9225.0,10725.0,-0.07518796992481203,runtime,2025-11-28 15:00:32
8217,2025-11-28 15:00:28,BANKNIFTY_MONTHLY,3780.0,3710.0,0.009345794392523364,runtime,2025-11-28 15:00:28
8216,2025-11-28 15:00:08,BSE,1680.0,1480.0,0.06329113924050633,runtime,2025-11-28 15:00:08
8215,2025-11-28 15:00:07,NSE,60300.0,43800.0,0.1585014409221902,runtime,2025-11-28 15:00:07
8214,2025-11-28 15:00:02,NSE,8325.0,12975.0,-0.21830985915492956,runtime,2025-11-28 15:00:02
8213,2025-11-28 14:59:54,BANKNIFTY_MONTHLY,4235.0,5425.0,-0.12318840579710146,runtime,2025-11-28 14:59:54
8212,2025-11-28 14:59:32,NSE,81900.0,107700.0,-0.1360759493670886,runtime,2025-11-28 14:59:32
8211,2025-11-28 14:59:31,NSE,10875.0,10500.0,0.017543859649122806,runtime,2025-11-28 14:59:31
8210,2025-11-28 14:59:28,BSE,1660.0,1380.0,0.09210526315789473,runtime,2025-11-28 14:59:28
8209,2025-11-28 14:59:19,BANKNIFTY_MONTHLY,3745.0,3080.0,0.09743589743589744,runtime,2025-11-28 14:59:19
8208,2025-11-28 14:58:55,NSE,12675.0,11325.0,0.05625,runtime,2025-11-28 14:58:55
8207,2025-11-28 14:58:48,BSE,1960.0,2100.0,-0.034482758620689655,runtime,2025-11-28 14:58:48
8206,2025-11-28 14:58:45,BANKNIFTY_MONTHLY,3115.0,3990.0,-0.12315270935960591,runtime,2025-11-28 14:58:45
8205,2025-11-28 14:58:14,NSE,10200.0,10650.0,-0.02158273381294964,runtime,2025-11-28 14:58:14
8204,2025-11-28 14:57:44,NSE,10875.0,15075.0,-0.16184971098265896,runtime,2025-11-28 14:57:44
8203,2025-11-28 14:57:42,BANKNIFTY_MONTHLY,3710.0,4480.0,-0.09401709401709402,runtime,2025-11-28 14:57:42
8202,2025-11-28 14:57:13,NSE,7725.0,11175.0,-0.18253968253968253,runtime,2025-11-28 14:57:13
8200,2025-11-28 14:57:08,BSE,1040.0,1780.0,-0.2624113475177305,runtime,2025-11-28 14:57:08
8201,2025-11-28 14:57:08,BANKNIFTY_MONTHLY,6650.0,3185.0,0.35231316725978645,runtime,2025-11-28 14:57:08
8199,2025-11-28 14:57:07,NSE,62025.0,109425.0,-0.2764654418197725,runtime,2025-11-28 14:57:07
8198,2025-11-28 14:56:42,NSE,9000.0,11700.0,-0.13043478260869565,runtime,2025-11-28 14:56:42
8197,2025-11-28 14:56:34,BANKNIFTY_MONTHLY,4480.0,3465.0,0.1277533039647577,runtime,2025-11-28 14:56:34
8196,2025-11-28 14:56:32,NSE,86250.0,88350.0,-0.012027491408934709,runtime,2025-11-28 14:56:32
8195,2025-11-28 14:56:12,NSE,8400.0,9300.0,-0.05084745762711865,runtime,2025-11-28 14:56:12
8194,2025-11-28 14:55:20,NSE,8175.0,10275.0,-0.11382113821138211,runtime,2025-11-28 14:55:20
8193,2025-11-28 14:55:20,BANKNIFTY_MONTHLY,3675.0,3955.0,-0.03669724770642202,runtime,2025-11-28 14:55:20
8192,2025-11-28 14:54:45,BANKNIFTY_MONTHLY,3815.0,4130.0,-0.039647577092511016,runtime,2025-11-28 14:54:45
8191,2025-11-28 14:54:40,NSE,9450.0,7350.0,0.125,runtime,2025-11-28 14:54:40
8190,2025-11-28 14:54:11,BANKNIFTY_MONTHLY,3605.0,3675.0,-0.009615384615384616,runtime,2025-11-28 14:54:11
8189,2025-11-28 14:54:09,NSE,11625.0,10725.0,0.040268456375838924,runtime,2025-11-28 14:54:09
8188,2025-11-28 14:54:08,BSE,1580.0,1520.0,0.01935483870967742,runtime,2025-11-28 14:54:08
8187,2025-11-28 14:54:07,NSE,109650.0,96375.0,0.06443392792136876,runtime,2025-11-28 14:54:07
8186,2025-11-28 14:53:38,NSE,8025.0,9975.0,-0.10833333333333334,runtime,2025-11-28 14:53:38
8185,2025-11-28 14:53:37,BANKNIFTY_MONTHLY,3710.0,3360.0,0.04950495049504951,runtime,2025-11-28 14:53:37
8184,2025-11-28 14:53:32,NSE,97275.0,87900.0,0.05062778452814905,runtime,2025-11-28 14:53:32
8183,2025-11-28 14:53:08,NSE,7050.0,9150.0,-0.12962962962962962,runtime,2025-11-28 14:53:08
8182,2025-11-28 14:52:37,NSE,10725.0,7425.0,0.18181818181818182,runtime,2025-11-28 14:52:37
8181,2025-11-28 14:52:11,BANKNIFTY_MONTHLY,3780.0,3430.0,0.04854368932038835,runtime,2025-11-28 14:52:11
8180,2025-11-28 14:52:06,NSE,12600.0,8925.0,0.17073170731707318,runtime,2025-11-28 14:52:06
8179,2025-11-28 14:51:36,NSE,11925.0,8100.0,0.19101123595505617,runtime,2025-11-28 14:51:36
8178,2025-11-28 14:51:12,BSE,1400.0,2140.0,-0.20903954802259886,runtime,2025-11-28 14:51:13
8177,2025-11-28 14:51:08,BANKNIFTY_MONTHLY,4480.0,3045.0,0.19069767441860466,runtime,2025-11-28 14:51:08
8176,2025-11-28 14:51:05,NSE,8850.0,12075.0,-0.15412186379928317,runtime,2025-11-28 14:51:05
8175,2025-11-28 14:51:01,NSE,109800.0,75525.0,0.1849453662484824,runtime,2025-11-28 14:51:01
8174,2025-11-28 14:50:34,NSE,10800.0,9750.0,0.051094890510948905,runtime,2025-11-28 14:50:34
8173,2025-11-28 14:50:34,BANKNIFTY_MONTHLY,4410.0,3605.0,0.10043668122270742,runtime,2025-11-28 14:50:34
8172,2025-11-28 14:50:26,NSE,98625.0,80175.0,0.10318791946308725,runtime,2025-11-28 14:50:26
8171,2025-11-28 14:50:04,NSE,8250.0,9750.0,-0.08333333333333333,runtime,2025-11-28 14:50:04
8170,2025-11-28 14:49:37,BANKNIFTY_MONTHLY,3185.0,4130.0,-0.1291866028708134,runtime,2025-11-28 14:49:37
8169,2025-11-28 14:49:33,NSE,9375.0,8925.0,0.02459016393442623,runtime,2025-11-28 14:49:33
8168,2025-11-28 14:49:02,NSE,6975.0,8100.0,-0.07462686567164178,runtime,2025-11-28 14:49:02
8167,2025-11-28 14:48:31,NSE,7050.0,7275.0,-0.015706806282722512,runtime,2025-11-28 14:48:32
8166,2025-11-28 14:48:28,BANKNIFTY_MONTHLY,2730.0,3850.0,-0.1702127659574468,runtime,2025-11-28 14:48:28
8165,2025-11-28 14:48:07,BSE,1660.0,2480.0,-0.19806763285024154,runtime,2025-11-28 14:48:07
8164,2025-11-28 14:48:01,NSE,72975.0,61875.0,0.08231368186874305,runtime,2025-11-28 14:48:01
8163,2025-11-28 14:48:01,NSE,8475.0,7125.0,0.08653846153846154,runtime,2025-11-28 14:48:01
8162,2025-11-28 14:47:54,BANKNIFTY_MONTHLY,3220.0,3955.0,-0.1024390243902439,runtime,2025-11-28 14:47:54
8161,2025-11-28 14:47:30,NSE,10125.0,7050.0,0.17903930131004367,runtime,2025-11-28 14:47:30
8160,2025-11-28 14:47:26,NSE,75225.0,76875.0,-0.010848126232741617,runtime,2025-11-28 14:47:26
8159,2025-11-28 14:47:20,BANKNIFTY_MONTHLY,5110.0,4270.0,0.08955223880597014,runtime,2025-11-28 14:47:20
8158,2025-11-28 14:47:00,NSE,11925.0,8625.0,0.16058394160583941,runtime,2025-11-28 14:47:00
8157,2025-11-28 14:46:45,BANKNIFTY_MONTHLY,3605.0,3360.0,0.035175879396984924,runtime,2025-11-28 14:46:45
8156,2025-11-28 14:46:29,NSE,10575.0,10350.0,0.010752688172043012,runtime,2025-11-28 14:46:29
8155,2025-11-28 14:46:11,BANKNIFTY_MONTHLY,3500.0,4060.0,-0.07407407407407407,runtime,2025-11-28 14:46:11
8154,2025-11-28 14:45:58,NSE,8775.0,8025.0,0.044642857142857144,runtime,2025-11-28 14:45:58
8153,2025-11-28 14:45:37,BANKNIFTY_MONTHLY,4410.0,4690.0,-0.03076923076923077,runtime,2025-11-28 14:45:37
