id,timestamp,exchange,front_month_price,next_month_price,contango_pct,backwardation_pct,current_vix,realized_vol,vix_ma_5d,vix_ma_20d,vix_trend_1d,vix_trend_5d,source,created_at
7523,2025-11-28 12:22:09,BANKNIFTY_MONTHLY,11.27,11.248000000000001,0.19559032716926086,-0.19559032716926086,11.27,0.0500394820171446,11.248000000000001,11.260499999999999,-0.17761989342806014,0.0,realtime_snapshot,2025-11-28 12:22:09
7522,2025-11-28 12:22:01,NSE,11.27,11.238,0.2847481758319988,-0.2847481758319988,11.27,0.04306535060726243,11.238,11.2555,0.08912655971479311,-0.4432624113475083,realtime_snapshot,2025-11-28 12:22:01
7521,2025-11-28 12:21:35,BANKNIFTY_MONTHLY,11.24,11.248000000000001,-0.0711237553342896,0.0711237553342896,11.24,0.038497924159444065,11.248000000000001,11.263499999999997,0.08888888888888699,0.17793594306049443,realtime_snapshot,2025-11-28 12:21:35
7520,2025-11-28 12:21:30,NSE,11.24,11.238,0.017796760989505854,-0.017796760989505854,11.24,0.03334780089099063,11.238,11.2555,0.08912655971479311,-0.4432624113475083,realtime_snapshot,2025-11-28 12:21:30
7519,2025-11-28 12:21:07,BSE,11.26,11.274,-0.12417952811778737,0.12417952811778737,11.26,0.035079679015483776,11.274,11.2725,-0.35460992907800665,-0.4428697962798843,realtime_snapshot,2025-11-28 12:21:07
7518,2025-11-28 12:21:01,BANKNIFTY_MONTHLY,11.26,11.244,0.14229811454998234,-0.14229811454998234,11.26,0.038069555189221754,11.244,11.2655,0.17809439002671035,0.17809439002671035,realtime_snapshot,2025-11-28 12:21:01
7517,2025-11-28 12:20:59,NSE,11.25,11.238,0.10678056593700351,-0.10678056593700351,11.25,0.025240192563782966,11.238,11.2555,0.08912655971479311,-0.4432624113475083,realtime_snapshot,2025-11-28 12:21:00
7516,2025-11-28 12:20:29,NSE,11.25,11.238,0.10678056593700351,-0.10678056593700351,11.25,0.02720561997776946,11.238,11.2555,0.08912655971479311,-0.4432624113475083,realtime_snapshot,2025-11-28 12:20:29
7515,2025-11-28 12:20:24,NSE,11.23,11.248000000000001,-0.16002844950213976,0.16002844950213976,11.23,0.02630581613402746,11.248000000000001,11.257000000000001,-0.17793594306049443,-0.707964601769912,realtime_snapshot,2025-11-28 12:20:24
7514,2025-11-28 12:20:21,BANKNIFTY_MONTHLY,11.25,11.24,0.08896797153024721,-0.08896797153024721,11.25,0.0358915021206584,11.24,11.267999999999999,-0.26642984014209026,0.0,realtime_snapshot,2025-11-28 12:20:21
